recipe_id,product_id
174,80
174,72
174,179
174,2
174,84
174,49
174,106
175,136
175,85
175,2
175,201
175,72
175,84
175,5
175,75
176,49
176,145
176,7
176,110
176,3
176,84
176,50
176,130
177,149
177,88
177,75
177,124
177,72
177,147
177,85
177,136
177,137
177,1
178,61
178,145
178,75
178,106
178,32
178,98
178,153
178,106
178,85
178,84
178,2
178,49
178,193
178,108
178,141
179,84
179,126
179,113
179,207
179,146
179,205
179,154
179,97
179,97
179,84
179,85
179,85
179,88
179,185
179,153
179,6
179,154
179,108
179,141
179,83
179,2
179,75
179,2
180,18
180,53
180,175
180,140
180,1
181,85
181,85
181,92
181,106
181,148
181,75
181,29
181,80
181,67
181,84
181,177
181,76
184,83
184,126
184,72
184,113
184,175
184,87
185,72
185,92
185,154
185,99
185,75
185,209
185,113
185,88
185,84
186,5
186,98
186,85
186,49
186,116
186,176
186,133
186,2
186,39
186,175
186,165
186,100
186,110
186,75
186,157
186,165
186,84
186,44
186,105
187,124
187,85
187,88
187,84
187,72
187,143
187,147
187,16
187,2
187,75
187,149
189,72
189,2
189,88
189,84
189,39
189,85
189,93
189,154
190,141
190,131
190,85
190,6
190,43
190,159
190,84
193,85
193,84
193,107
193,2
193,126
193,101
193,149
193,126
193,106
194,166
194,49
194,75
194,160
194,108
194,2
194,69
194,149
194,141
194,85
194,61
195,98
195,133
195,6
195,85
195,49
195,25
195,137
195,148
195,84
196,85
196,49
196,84
196,7
196,2
196,75
196,79
196,3
196,10
196,130
196,88
196,108
196,69
196,85
197,84
197,88
197,93
197,84
197,207
197,136
197,145
197,85
197,83
197,97
197,110
197,117
197,91
197,105
198,6
198,118
198,2
198,159
198,126
198,61
198,59
198,69
198,106
198,140
198,49
198,114
199,92
199,141
200,38
200,126
200,136
200,121
200,124
200,97
200,3
200,133
200,98
200,170
200,6
201,3
201,126
201,108
201,69
201,101
201,110
201,207
201,85
201,149
201,136
201,84
201,141
201,136
201,85
201,113
201,200
202,69
202,175
202,49
202,2
202,76
202,16
202,7
202,91
202,80
202,5
202,131
202,37
202,169
202,84
202,126
202,3
202,5
202,16
202,75
202,130
203,141
203,187
203,7
203,29
204,144
204,75
204,133
204,145
204,93
204,101
204,110
204,207
204,107
204,98
204,136
204,80
205,105
205,136
205,84
205,83
205,85
205,97
206,98
206,97
206,6
206,99
206,146
206,3
206,141
206,84
206,99
206,99
206,122
207,3
207,23
207,49
207,141
207,202
207,3
207,151
207,99
207,203
207,97
208,87
208,135
208,82
208,18
208,97
208,83
209,5
209,85
209,84
209,106
209,98
209,2
209,71
209,154
209,126
209,154
209,88
209,75
209,154
211,88
211,41
211,92
211,101
211,97
211,122
211,80
211,124
211,85
211,75
211,93
211,84
211,39
212,3
212,16
212,151
212,82
212,82
213,114
213,79
213,5
213,2
213,159
213,51
213,61
213,87
214,69
214,193
214,136
214,41
214,110
214,193
214,85
214,133
214,133
214,91
214,201
215,193
215,109
215,12
215,126
216,125
216,75
216,69
216,144
216,133
216,84
216,3
216,169
217,141
217,128
217,97
217,84
217,83
217,151
217,82
217,3
217,99
217,6
218,97
218,85
218,106
218,61
218,84
220,136
220,118
220,105
220,106
220,170
220,175
220,124
220,75
220,154
220,5
220,2
221,85
221,206
221,97
221,6
221,82
221,101
221,107
221,159
221,84
222,37
222,85
222,2
222,87
222,126
222,159
222,113
222,88
222,133
222,114
222,98
222,170
222,84
223,144
223,85
223,122
223,153
223,106
223,101
223,180
223,171
223,2
223,149
223,80
223,84
223,76
223,32
223,108
223,75
223,105
223,32
225,196
225,84
225,205
225,176
225,98
225,172
225,185
225,72
225,85
225,133
225,193
225,2
225,169
225,200
225,101
228,133
228,148
228,92
228,8
228,106
228,84
228,80
230,175
230,193
230,49
230,75
230,126
230,108
230,6
230,149
230,109
230,141
230,3
230,91
230,80
230,201
230,69
230,185
230,84
230,39
230,106
231,114
231,133
231,55
231,99
231,49
231,114
231,141
231,69
231,159
231,136
231,60
232,149
232,108
232,126
232,84
232,82
232,169
232,97
232,2
232,72
232,141
232,175
232,80
232,75
232,126
232,169
232,106
233,100
233,92
233,83
233,77
233,84
233,88
233,136
233,85
233,105
234,97
234,144
234,118
234,85
234,2
234,141
234,81
237,88
237,122
237,3
237,6
237,99
238,113
238,5
238,137
239,99
239,3
239,181
239,209
239,151
239,170
241,26
241,50
241,126
241,101
241,27
241,106
241,10
241,190
241,75
241,2
241,3
241,37
241,84
241,5
241,98
241,106
241,49
241,106
241,55
242,72
242,50
242,25
242,7
242,49
242,172
242,3
242,124
242,75
242,116
242,85
242,149
242,2
243,3
243,84
243,98
243,40
243,16
243,141
243,149
244,207
244,98
244,49
244,7
244,111
244,85
244,80
245,99
245,3
245,34
245,38
245,84
245,20
245,124
245,97
245,6
248,176
248,80
248,7
248,111
248,192
248,5
248,109
248,84
248,49
250,107
250,5
250,79
250,116
250,175
250,114
250,85
250,85
250,12
250,13
250,89
250,97
250,209
250,69
250,83
250,84
250,2
251,3
251,131
251,5
252,49
252,124
252,188
252,84
252,2
252,101
252,80
252,72
252,55
254,99
254,141
254,6
254,97
254,106
254,84
254,83
255,106
255,84
255,12
255,126
255,82
255,85
255,88
255,159
255,92
255,154
255,85
255,83
255,154
258,49
258,159
258,99
258,6
258,141
258,84
259,112
259,98
259,105
259,75
259,176
259,7
259,117
259,49
259,110
259,3
259,185
259,49
259,84
259,85
259,2
259,108
259,49
260,75
260,108
260,69
260,173
260,88
260,69
261,101
261,88
261,133
261,192
261,7
261,124
261,75
261,160
261,113
261,108
261,85
261,69
261,49
262,92
262,125
262,84
262,122
262,193
262,200
262,201
262,3
262,61
264,93
264,84
264,92
264,88
264,12
264,75
264,10
264,165
264,2
264,80
264,98
264,200
264,143
264,139
265,98
265,156
265,188
265,110
265,84
265,110
265,130
266,133
266,141
266,120
266,2
266,5
266,79
266,69
266,99
266,88
266,190
266,137
266,159
266,6
266,174
266,60
267,105
267,98
267,101
267,108
267,101
267,3
267,117
267,173
267,75
267,133
267,7
267,105
267,185
267,80
267,49
267,69
267,193
267,133
267,16
267,2
268,99
268,97
268,83
268,136
268,126
268,136
268,84
268,37
268,109
268,61
268,85
268,82
268,2
269,84
269,87
269,69
269,84
269,23
269,85
269,45
269,99
269,126
269,97
269,151
269,141
269,49
269,81
269,6
270,126
270,6
270,3
270,82
270,84
270,84
270,97
270,85
271,101
271,149
271,80
271,69
271,110
271,193
271,114
271,121
271,98
271,133
271,113
271,84
271,105
271,141
272,109
272,118
272,75
272,2
272,5
272,88
272,69
272,76
272,175
272,136
272,97
272,84
272,85
272,79
272,133
272,136
273,98
273,61
273,84
273,88
273,75
273,105
274,88
274,2
274,85
274,124
274,101
274,205
274,110
274,159
274,101
275,151
275,141
275,99
275,3
275,109
276,118
276,2
276,76
276,131
276,80
276,84
276,16
276,107
276,99
276,133
277,98
277,2
277,137
277,26
277,75
277,72
277,45
277,161
277,71
277,107
277,136
279,5
279,114
279,2
279,19
279,159
279,61
279,136
279,85
279,82
280,84
280,2
280,85
280,133
280,106
280,99
280,80
280,106
280,169
280,49
281,84
281,2
281,173
281,55
281,71
281,5
281,49
281,201
282,14
282,84
282,69
282,50
282,7
282,148
282,59
282,149
282,125
282,33
282,124
282,108
282,121
282,173
282,85
282,2
282,75
282,88
283,99
283,84
283,141
283,97
283,6
283,197
284,98
284,85
284,3
284,152
284,84
284,76
284,112
284,124
284,80
284,169
284,79
284,50
285,80
285,94
285,82
285,90
285,4
285,136
285,88
285,93
285,130
285,144
285,135
285,80
287,69
287,85
287,49
287,5
287,3
287,75
287,7
287,113
288,20
288,97
288,180
289,105
289,20
289,80
289,126
289,72
289,97
289,84
289,106
289,149
289,169
289,27
289,80
289,148
289,82
289,85
289,175
290,106
290,82
290,70
290,97
290,121
290,151
291,103
291,113
291,160
291,75
291,88
291,15
291,156
291,124
292,160
292,159
292,124
292,2
292,72
292,88
292,75
292,101
292,183
293,72
293,18
293,105
293,84
293,141
293,149
293,149
293,88
293,16
293,4
293,106
293,126
293,136
293,69
293,133
293,106
293,99
293,85
293,136
293,174
293,2
294,34
294,108
294,106
294,126
294,6
294,84
294,92
294,126
294,133
294,49
294,98
294,118
294,133
294,2
295,16
295,76
295,156
295,1
295,2
295,71
296,3
296,159
296,23
296,82
296,82
296,81
297,3
297,124
297,99
297,6
297,34
297,38
297,84
